order,seasonal_order,aic,bic
"(1, 0, 2)","(0, 1, 0, 5)",-2838.4943712326494,-2820.5375515073483
"(0, 0, 3)","(1, 1, 1, 5)",-2843.4625747429227,-2816.5823073713627
"(1, 0, 0)","(0, 1, 0, 5)",-2818.6575468304054,-2809.6730671603646
"(0, 0, 3)","(1, 1, 0, 5)",-2826.616122541528,-2804.1853185968075
"(1, 1, 3)","(0, 1, 0, 5)",-2822.708356521944,-2800.2775525772236
"(2, 1, 2)","(1, 1, 1, 5)",-2823.255711587706,-2791.8953996542195
"(0, 0, 2)","(1, 1, 1, 5)",-2808.1266992623323,-2785.7188136159502
"(1, 1, 2)","(1, 1, 1, 5)",-2809.5436535658746,-2782.6633861943146
"(0, 0, 2)","(0, 1, 1, 5)",-2795.888757925891,-2777.9624494087852
"(0, 0, 2)","(1, 1, 0, 5)",-2787.3948123985892,-2769.450169242813
"(0, 0, 3)","(1, 0, 0, 5)",-2790.459875736902,-2767.9911065376436
"(0, 0, 3)","(0, 1, 0, 5)",-2777.186295310904,-2759.2355592369654
"(0, 0, 2)","(0, 1, 0, 5)",-2771.3994011394702,-2757.9317863454944
"(1, 1, 0)","(0, 1, 0, 5)",-2760.0709661824135,-2751.0895191134086
"(0, 1, 0)","(0, 1, 0, 5)",-2752.6445444265464,-2748.1538208920438
"(0, 1, 1)","(0, 1, 0, 5)",-2754.6952214840226,-2745.716811621372
"(2, 1, 0)","(0, 1, 0, 5)",-2752.9555119188203,-2739.4878971248445
"(1, 1, 1)","(0, 1, 0, 5)",-2752.9451740205814,-2739.4775592266055
"(0, 1, 2)","(0, 1, 0, 5)",-2750.8464861489715,-2737.3834340935177
"(2, 1, 1)","(0, 1, 0, 5)",-2750.9615162629552,-2733.004696537654
"(3, 1, 0)","(0, 1, 0, 5)",-2749.457335869559,-2731.5065997956203
"(1, 1, 2)","(0, 1, 0, 5)",-2748.6391790436496,-2730.688442969711
"(0, 1, 3)","(0, 1, 0, 5)",-2746.437025375068,-2728.492382219292
"(3, 1, 1)","(0, 1, 0, 5)",-2747.284088002938,-2724.8456679105147
"(2, 1, 2)","(0, 1, 0, 5)",-2746.9813342281914,-2724.542914135768
"(3, 1, 2)","(0, 1, 0, 5)",-2746.408653980415,-2719.4825498695072
"(0, 0, 2)","(1, 0, 1, 5)",-2674.9603496003933,-2652.514324943767
"(0, 0, 2)","(1, 0, 0, 5)",-2639.6144129274207,-2621.639397568014
"(0, 0, 1)","(1, 0, 1, 5)",-2549.220157300247,-2531.257263162237
"(0, 0, 1)","(1, 0, 0, 5)",-2530.0380291525785,-2516.5567676330234
"(0, 0, 1)","(0, 1, 0, 5)",-2525.219984942496,-2516.238537873491
"(0, 0, 1)","(1, 1, 0, 5)",-2528.445577848875,-2514.9870954820426
"(0, 0, 1)","(0, 1, 1, 5)",-2526.5493708160097,-2513.100048761638
"(0, 0, 1)","(1, 1, 1, 5)",-2529.1505143105614,-2511.2180849047327
"(0, 0, 0)","(0, 1, 0, 5)",-2081.4604296158327,-2076.9681897808123
"(0, 0, 0)","(1, 0, 0, 5)",-2083.955165731722,-2074.9676580520186
"(0, 0, 0)","(1, 0, 1, 5)",-2083.2428224971254,-2069.766102992064
"(0, 0, 0)","(1, 1, 0, 5)",-2067.507656238621,-2058.535334660733
"(0, 0, 0)","(0, 1, 1, 5)",-2063.9605743578713,-2054.9913038866007
"(0, 0, 0)","(1, 1, 1, 5)",-2064.915349483253,-2051.461443776347
"(0, 0, 3)","(0, 0, 1, 5)",-816.148698415372,-793.710278322949
"(0, 0, 2)","(0, 0, 1, 5)",-369.8422641756083,-351.88544445030703
"(0, 0, 3)","(0, 0, 0, 0)",-260.2405962799431,-242.25953405619504
"(0, 0, 1)","(0, 0, 1, 5)",471.9152377386644,485.38740834217197
"(0, 0, 2)","(0, 0, 0, 0)",473.2609513472065,486.7512763177641
"(0, 0, 1)","(0, 0, 0, 0)",1210.280237269908,1219.2768015688607
"(0, 0, 0)","(0, 0, 1, 5)",1234.278723478863,1243.2632031489038
"(0, 0, 0)","(0, 0, 0, 0)",2112.40700802273,2116.906795063386
